,Tweets,created_at,geo,coordinates,place,lang,entities
0,"الهواري: اللقاح منع تصاعد الحالة الوبائية وموجاتها

https://t.co/lHE5VzjdcY",2021-04-10 23:31:45,,,,ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/lHE5VzjdcY', 'expanded_url': 'https://hawajordan.net/jonews/jordan-news/142632.html#.YHI1GOgzbIU', 'display_url': 'hawajordan.net/jonews/jordan-…', 'indices': [52, 75]}]}"
1,"صحة إربد: 100 ألف شخص تلقوا اللقاح وإقبال متزايد على التطعيم
https://t.co/x0KCn7RtEb

#الاردن
#جريدة_الدستور_الأردنية",2021-04-10 22:50:24,,,,ar,"{'hashtags': [{'text': 'الاردن', 'indices': [86, 93]}, {'text': 'جريدة_الدستور_الأردنية', 'indices': [94, 117]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/x0KCn7RtEb', 'expanded_url': 'https://www.addustour.com/articles/1211135-%D8%B5%D8%AD%D8%A9-%D8%A5%D8%B1%D8%A8%D8%AF-100-%D8%A3%D9%84%D9%81-%D8%B4%D8%AE%D8%B5-%D8%AA%D9%84%D9%82%D9%88%D8%A7-%D8%A7%D9%84%D9%84%D9%82%D8%A7%D8%AD-%D9%88%D8%A5%D9%82%D8%A8%D8%A7%D9%84-%D9%85%D8%AA%D8%B2%D8%A7%D9%8A%D8%AF-%D8%B9%D9%84%D9%89-%D8%A7%D9%84%D8%AA%D8%B7%D8%B9%D9%8A%D9%85', 'display_url': 'addustour.com/articles/12111…', 'indices': [61, 84]}]}"
2,@Sarsak24 @khaberni انا وجهة نظري ، الحل الافضل من اللقاح ، الكل ينصاب ومنطقيا حسب عدد الحالات الكل انصاب وخلص ما ف… https://t.co/5yB84RUjxJ,2021-04-10 22:43:19,,,,ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Sarsak24', 'name': 'Abadai', 'id': 2831280463, 'id_str': '2831280463', 'indices': [0, 9]}, {'screen_name': 'khaberni', 'name': 'خبرني  Khaberni', 'id': 110345797, 'id_str': '110345797', 'indices': [10, 19]}], 'urls': [{'url': 'https://t.co/5yB84RUjxJ', 'expanded_url': 'https://twitter.com/i/web/status/1381014961464487940', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}"
3,@alialasmar89 @khaberni لا تخاطر يا اخ خذ اللقاح لعل الله يخلصنا من زيادة عدد الحالات والحظر الجبري,2021-04-10 22:38:09,,,,ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'alialasmar89', 'name': 'علي جعفر الشرمان', 'id': 2162563764, 'id_str': '2162563764', 'indices': [0, 13]}, {'screen_name': 'khaberni', 'name': 'خبرني  Khaberni', 'id': 110345797, 'id_str': '110345797', 'indices': [14, 23]}], 'urls': []}"
4,"RT @Dr_abdoty: ليش ناخذ اللقاح؟
شنو الهدف منه؟ https://t.co/4gDM4yxTB5",2021-04-10 22:32:11,,,,ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Dr_abdoty', 'name': 'د. محمد نبيل الصفي', 'id': 177957575, 'id_str': '177957575', 'indices': [3, 13]}], 'urls': [], 'media': [{'id': 1379507880248893441, 'id_str': '1379507880248893441', 'indices': [47, 70], 'media_url': 'http://pbs.twimg.com/ext_tw_video_thumb/1379507880248893441/pu/img/TmPCfn5cTJhQWyls.jpg', 'media_url_https': 'https://pbs.twimg.com/ext_tw_video_thumb/1379507880248893441/pu/img/TmPCfn5cTJhQWyls.jpg', 'url': 'https://t.co/4gDM4yxTB5', 'display_url': 'pic.twitter.com/4gDM4yxTB5', 'expanded_url': 'https://twitter.com/Dr_abdoty/status/1379507978664095746/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}, 'large': {'w': 1280, 'h': 720, 'resize': 'fit'}}, 'source_status_id': 1379507978664095746, 'source_status_id_str': '1379507978664095746', 'source_user_id': 177957575, 'source_user_id_str': '177957575'}]}"
5,"RT @Dr_abdoty: ليش ناخذ اللقاح؟
شنو الهدف منه؟ https://t.co/4gDM4yxTB5",2021-04-10 22:13:09,,,,ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Dr_abdoty', 'name': 'د. محمد نبيل الصفي', 'id': 177957575, 'id_str': '177957575', 'indices': [3, 13]}], 'urls': [], 'media': [{'id': 1379507880248893441, 'id_str': '1379507880248893441', 'indices': [47, 70], 'media_url': 'http://pbs.twimg.com/ext_tw_video_thumb/1379507880248893441/pu/img/TmPCfn5cTJhQWyls.jpg', 'media_url_https': 'https://pbs.twimg.com/ext_tw_video_thumb/1379507880248893441/pu/img/TmPCfn5cTJhQWyls.jpg', 'url': 'https://t.co/4gDM4yxTB5', 'display_url': 'pic.twitter.com/4gDM4yxTB5', 'expanded_url': 'https://twitter.com/Dr_abdoty/status/1379507978664095746/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}, 'large': {'w': 1280, 'h': 720, 'resize': 'fit'}}, 'source_status_id': 1379507978664095746, 'source_status_id_str': '1379507978664095746', 'source_user_id': 177957575, 'source_user_id_str': '177957575'}]}"
6,"RT @Dr_abdoty: ليش ناخذ اللقاح؟
شنو الهدف منه؟ https://t.co/4gDM4yxTB5",2021-04-10 20:36:18,,,,ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Dr_abdoty', 'name': 'د. محمد نبيل الصفي', 'id': 177957575, 'id_str': '177957575', 'indices': [3, 13]}], 'urls': [], 'media': [{'id': 1379507880248893441, 'id_str': '1379507880248893441', 'indices': [47, 70], 'media_url': 'http://pbs.twimg.com/ext_tw_video_thumb/1379507880248893441/pu/img/TmPCfn5cTJhQWyls.jpg', 'media_url_https': 'https://pbs.twimg.com/ext_tw_video_thumb/1379507880248893441/pu/img/TmPCfn5cTJhQWyls.jpg', 'url': 'https://t.co/4gDM4yxTB5', 'display_url': 'pic.twitter.com/4gDM4yxTB5', 'expanded_url': 'https://twitter.com/Dr_abdoty/status/1379507978664095746/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}, 'large': {'w': 1280, 'h': 720, 'resize': 'fit'}}, 'source_status_id': 1379507978664095746, 'source_status_id_str': '1379507978664095746', 'source_user_id': 177957575, 'source_user_id_str': '177957575'}]}"
7,وزارة الصحة: أكثر من نصف مليون شخص تلقوا اللقاح المضاد للفيروس https://t.co/GICjcMNJjR,2021-04-10 20:19:57,,,,ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/GICjcMNJjR', 'expanded_url': 'http://www.rumonline.net/article/561318#.YHIIZyaz6Qg.twitter', 'display_url': 'rumonline.net/article/561318…', 'indices': [63, 86]}]}"
8,"#عاجل: عضو بلجنة الأوبئة يوصي بإعطاء جرعة واحدة من اللقاح لهذه الفئة.. ويهاجم بشدة حظر الجمعة 
https://t.co/Gw3RvjlCcK

#السوسنة",2021-04-10 19:41:15,,,,ar,"{'hashtags': [{'text': 'عاجل', 'indices': [0, 5]}, {'text': 'السوسنة', 'indices': [120, 128]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/Gw3RvjlCcK', 'expanded_url': 'https://2u.pw/a3yj3', 'display_url': '2u.pw/a3yj3', 'indices': [95, 118]}]}"
9,"#عاجل: الأوبئة توصي بإعطاء جرعة واحدة من اللقاح لهذه الفئة..
https://t.co/lY7IkI74j3

#السوسنة",2021-04-10 19:23:45,,,,ar,"{'hashtags': [{'text': 'عاجل', 'indices': [0, 5]}, {'text': 'السوسنة', 'indices': [86, 94]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/lY7IkI74j3', 'expanded_url': 'https://www.assawsana.com/portal/pages.php?newsid=503237', 'display_url': 'assawsana.com/portal/pages.p…', 'indices': [61, 84]}]}"
10,الهواري: اللقاح منع تصاعد الحالة الوبائية وموجاتها https://t.co/RsDiRqcRYZ https://t.co/XTVz4taHBO,2021-04-10 18:16:07,,,,ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/RsDiRqcRYZ', 'expanded_url': 'http://dlvr.it/RxPFWg', 'display_url': 'dlvr.it/RxPFWg', 'indices': [51, 74]}], 'media': [{'id': 1380947716767850502, 'id_str': '1380947716767850502', 'indices': [75, 98], 'media_url': 'http://pbs.twimg.com/media/Eyocob9VoAY3PY4.jpg', 'media_url_https': 'https://pbs.twimg.com/media/Eyocob9VoAY3PY4.jpg', 'url': 'https://t.co/XTVz4taHBO', 'display_url': 'pic.twitter.com/XTVz4taHBO', 'expanded_url': 'https://twitter.com/Urdoni/status/1380947718273560578/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 780, 'h': 470, 'resize': 'fit'}, 'small': {'w': 680, 'h': 410, 'resize': 'fit'}, 'medium': {'w': 780, 'h': 470, 'resize': 'fit'}}}]}"
11,RT @almadenahnews: الهواري : اللقاح منع تصاعد الحالة الوبائية وموجاتها - المدينة نيوز https://t.co/XBs96KF96O,2021-04-10 18:13:17,,,,ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'almadenahnews', 'name': 'almadenahnews', 'id': 137263529, 'id_str': '137263529', 'indices': [3, 17]}], 'urls': [{'url': 'https://t.co/XBs96KF96O', 'expanded_url': 'https://www.almadenahnews.com/article/907178', 'display_url': 'almadenahnews.com/article/907178', 'indices': [86, 109]}]}"
12,الهواري : اللقاح منع تصاعد الحالة الوبائية وموجاتها - المدينة نيوز https://t.co/XBs96KF96O,2021-04-10 18:09:32,,,,ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/XBs96KF96O', 'expanded_url': 'https://www.almadenahnews.com/article/907178', 'display_url': 'almadenahnews.com/article/907178', 'indices': [67, 90]}]}"
13,"#عاجل

مليون و114975 ألف إجمالي عدد المسجلين على منصة #لقاح_كورونا  و 120 ألفاً و290 شخصاً تلقوا الجرعة الثانية من… https://t.co/Xulw2S9DHs",2021-04-10 18:07:19,,,,ar,"{'hashtags': [{'text': 'عاجل', 'indices': [0, 5]}, {'text': 'لقاح_كورونا', 'indices': [54, 66]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/Xulw2S9DHs', 'expanded_url': 'https://twitter.com/i/web/status/1380945501990830089', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]}"
